id,domain,prompt
1,LED / Lighting / Art Projects,"When a pushbutton is pressed, softly ramp a single LED from 0% to 60% PWM and back down using a bounded loop for the ramp; release stops at 0%. Run the control loop at a fixed 200 Hz rate."
2,LED / Lighting / Art Projects,"Cycle one RGB LED through red, green, and blue, holding each color for exactly 1.0 s. Use a bounded loop to index the three colors and enforce a 50 Hz update rate."
3,LED / Lighting / Art Projects,Read a knob and map it linearly to LED brightness from 0% to 80% duty (safety cap). Update at 20 Hz and avoid any unbounded iterations.
4,LED / Lighting / Art Projects,"Create a breathing effect on one LED using a bounded lookup table for brightness steps, never exceeding 60% duty. Refresh at 100 Hz."
5,LED / Lighting / Art Projects,"Produce a double-flash pattern: two 100 ms on pulses separated by 100 ms, then 1.7 s off, repeating via a bounded loop. PWM at full duty during pulses and maintain millisecond-accurate timing at 200 Hz."
6,LED / Lighting / Art Projects,"Make a nightlight that stays at 30% PWM for exactly 15 minutes after a button tap, then turns off. Use a bounded loop counting seconds at a 1 Hz rate."
7,LED / Lighting / Art Projects,Implement tap-tempo: the user taps a button and the LED blinks at that period with 50% duty. Use a bounded loop to average the last 4 intervals and update timing at 100 Hz.
8,LED / Lighting / Art Projects,Turn on an LED to 40% brightness when ambient light drops below a threshold; otherwise turn it off. Sample the light sensor at 10 Hz and avoid unbounded loops.
9,LED / Lighting / Art Projects,"Create a smooth fade-in over 2 s and fade-out over 2 s when a switch toggles, using bounded loops for the fade steps. Run the controller at 100 Hz."
10,LED / Lighting / Art Projects,"Blink an LED at exactly 2 Hz, with a soft edge created by a bounded 20-step PWM ramp on each transition. Enforce a 1 ms worst-case execution time per cycle."
11,LED / Lighting / Art Projects,"Make an RGB LED pulse between blue and cyan in a repeating 5-step bounded loop, holding each step for 250 ms. Update at a fixed 20 Hz."
12,LED / Lighting / Art Projects,"Implement a status LED that is on solid at 10% PWM normally, but flashes at 5 Hz at 80% PWM when an error flag input is true. Use a simple two-state machine and a 100 Hz rate."
13,LED / Lighting / Art Projects,Create a one-minute countdown using a single LED that gets brighter in 60 bounded steps once per second. Cap maximum brightness at 70% duty.
14,LED / Lighting / Art Projects,Generate a lighthouse sweep on a single LED: brief bright peak (100 ms at 90% duty) then a long decay to 10% over 2 s using a bounded loop. Control rate 200 Hz.
15,LED / Lighting / Art Projects,"Implement a touch-to-dim control: each tap reduces brightness by 10% down to 10%, then wraps to 70%. Use a bounded loop to cycle levels and sample at 50 Hz."
